day,month,year,last.name,first.name,diversity,pot,treatment,rep,bin,shoot,genotype,sampled,length.cm,lesion,lesion.group,lesion.cover,lc.FS,microbe.sample,shoot.damage,senescence,collection.disease.notes,collection.shoot.notes,collection.notes,extraction.year,extraction.month,extraction.day,researcher,Plate.ID,Well.ID,sample.position,sample.weight.mg,extraction.notes,Cq.Mean,Cq.Std.Dev,copy.no,copy.no/extraction,copy.no/cell,cells/uL,cells/extraction,cell/mg,cells.present,qPCR.trial.ID
14,september,2015,dubois,katie,mono,mono.red,cold,3,5,1,red,1,45,1,<10,NA,5,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,5C,m,3.77,.,36.24,NA,NA,NA,927.2661687,NA,NA,NA,NA,T31&T33
14,september,2015,dubois,katie,mono,mono.red,cold,3,5,2,red,1,46,1,>10,10,10,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,5D,m,3.23,.,34.15,0.109,20.55497341,2055.497341,927.2661687,0.022167285,2.216728498,0.686293653,1,T31
14,september,2015,dubois,katie,mono,mono.red,cold,3,5,3,red,1,39,1,<10,NA,5,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,5E,m,3.56,.,35.91,0.478,6.015339696,601.5339696,927.2661687,0.006487177,0.648717693,0.182224071,1,T31
14,september,2015,dubois,katie,mono,mono.red,cold,3,5,4,red,1,46,1,<10,NA,5,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,5F,m,2.78,.,0,0,0,0,927.2661687,0,0,0,0,T31
14,september,2015,dubois,katie,mono,mono.white,cold,3,5,1,white,1,31,1,<10,NA,5,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,5G,m,2.76,.,39.74,NA,NA,NA,927.2661687,NA,NA,NA,NA,T31&T33
14,september,2015,dubois,katie,mono,mono.white,cold,3,5,2,white,1,29,1,<10,NA,5,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,5H,m,2.72,.,0,0,0,0,927.2661687,0,0,0,0,T31
14,september,2015,dubois,katie,mono,mono.white,cold,3,5,4,white,1,35,1,<10,NA,5,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,6A,m,3.41,.,36.27,NA,NA,NA,927.2661687,NA,NA,NA,NA,T31&T33
14,september,2015,dubois,katie,mono,mono.yellow,cold,3,5,1,yellow,1,49,1,<10,NA,5,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,6B,m,3.64,.,35.76,0.954,NA,NA,927.2661687,NA,NA,NA,NA,T31&T33
14,september,2015,dubois,katie,mono,mono.yellow,cold,3,5,2,yellow,1,50,1,<10,NA,5,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,6C,m,3.81,.,0,0,0,0,715.6892287,0,0,0,0,T31&T33
14,september,2015,dubois,katie,mono,mono.yellow,cold,3,5,3,yellow,1,51,1,>10,20,20,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,6D,m,3.3,.,35.58,0.673,7.571299461,757.1299461,715.6892287,0.010579032,1.057903229,0.320576736,1,T31&T33
14,september,2015,dubois,katie,mono,mono.yellow,cold,3,5,4,yellow,1,49.5,1,>10,15,15,1,0,0,.,.,.,2016,december,20,schenck,BWE_P4,6E,m,3.41,.,35.34,1.009,NA,NA,715.6892287,NA,NA,NA,NA,T31&T33
14,september,2015,dubois,katie,poly,mix.6,cold,3,5,5,blue,1,34,1,<10,NA,5,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,6F,m,3.66,.,0,0,0,0,927.2661687,0,0,0,0,T31
14,september,2015,dubois,katie,poly,mix.6,cold,3,5,5,brown,1,31,1,<10,NA,5,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,6G,m,2.74,.,0,0,0,0,927.2661687,0,0,0,0,T31
14,september,2015,dubois,katie,poly,mix.6,cold,3,5,5,green,1,25,1,<10,NA,5,1,0,0,.,.,.,2016,december,20,schenck,BWE_P4,6H,m,3.83,.,36.06,NA,NA,NA,927.2661687,NA,NA,NA,NA,T31&T33
14,september,2015,dubois,katie,poly,mix.5,cold,3,5,5,orange,1,53,1,<1,NA,0.5,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,7A,m,2.84,.,36.29,NA,NA,NA,927.2661687,NA,NA,NA,NA,T31&T33
14,september,2015,dubois,katie,poly,mix.5,cold,3,5,5,purple,1,44.5,1,<10,NA,5,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,7B,m,3.3,.,0,0,0,0,927.2661687,0,0,0,0,T31
